Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,clean_text,polarity,subjectivity,sentiment_label,topic_id_nmf,topic_id_lda,hashtags_list
 Coding a new project with enthusiasm.              , Positive  ,1/25/2023 13:15, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,coding new project enthusiasm,0.13636363636363635,0.45454545454545453,positive,2,5,"['#Coding', '#Enthusiasm']"
 Feeling inspired after attending a workshop.       , Positive  ,1/26/2023 9:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,feeling inspired attending workshop,0.0,0.0,neutral,5,9,"['#Inspiration', '#Workshop']"
 Winter sports day at the local park.               , Positive  ,1/26/2023 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,winter sport day local park,0.0,0.0,neutral,1,9,"['#WinterSports', '#Fun']"
 Quality time with family this weekend.             , Positive  ,1/26/2023 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,quality time family weekend,0.0,0.0,neutral,7,9,"['#FamilyTime', '#Weekend']"
 Attending a live music concert tonight.            , Positive  ,1/27/2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,attending live music concert tonight,0.13636363636363635,0.5,positive,9,9,"['#Music', '#ConcertNight']"
 Practicing mindfulness with meditation.            , Positive  ,1/27/2023 12:30, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,practicing mindfulness meditation,0.0,0.0,neutral,0,9,"['#Mindfulness', '#Meditation']"
 Trying out a new dessert recipe.                   , Positive  ,1/27/2023 16:10, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,trying new dessert recipe,0.13636363636363635,0.45454545454545453,positive,2,9,"['#Dessert', '#Cooking']"
 Excited about the upcoming gaming tournament.      , Positive  ,1/28/2023 9:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,excited upcoming gaming tournament,0.375,0.75,positive,2,9,"['#Gaming', '#Tournament']"
 Planning a garden makeover for spring.             , Positive  ,1/28/2023 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,planning garden makeover spring,0.0,0.0,neutral,6,9,"['#Gardening', '#Spring']"
 Celebrating a friend's birthday tonight! 🎂       , Positive  ,1/28/2023 19:30, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,celebrating friend birthday tonight birthday cake,0.0,0.0,neutral,3,5,"['#Birthday', '#Celebration']"
 Feeling accomplished after a productive day.       , Positive  ,1/29/2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,feeling accomplished productive day,0.2,0.5,positive,1,9,"['#Accomplished', '#Success']"
 A cozy evening with a good movie.                 , Positive  ,1/29/2023 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,cozy evening good movie,0.25,0.675,positive,3,9,"['#CozyNight', '#MovieTime']"
 Exploring local art galleries this weekend.        , Positive  ,1/30/2023 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,exploring local art gallery weekend,0.0,0.0,neutral,2,9,"['#Art', '#GalleryExplore']"
 New book release from my favorite author!          , Positive  ,1/30/2023 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,new book release favorite author,0.3181818181818182,0.7272727272727273,positive,2,9,"['#BookRelease', '#FavoriteAuthor']"
 Attending a virtual reality meetup.                , Positive  ,1/30/2023 18:30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,attending virtual reality meetup,0.0,0.0,neutral,7,9,"['#VRMeetup', '#VirtualReality']"
 Reflecting on the beauty of nature.                , Positive  ,1/31/2023 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,reflecting beauty nature,0.0,0.0,neutral,6,9,"['#Nature', '#Reflection']"
 Cooking a special dinner for loved ones.           , Positive  ,1/31/2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,cooking special dinner loved one,0.5285714285714286,0.6857142857142857,positive,6,9,"['#Cooking', '#SpecialDinner']"
 Feeling optimistic about the week ahead.           , Positive  ,1/31/2023 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,feeling optimistic week ahead,0.0,0.0,neutral,5,9,"['#Optimism', '#NewWeek']"
 Starting a new fitness challenge tomorrow! 💪     , Positive  ,2/1/2023 8:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,starting new fitness challenge tomorrow flexed biceps,0.06818181818181818,0.2772727272727273,positive,8,5,"['#FitnessChallenge', '#NewBeginnings']"
 Sunday bike ride through scenic trails.           , Positive  ,2/1/2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,sunday bike ride scenic trail,0.0,0.0,neutral,6,9,"['#BikeRide', '#ScenicTrails']"
 Can't believe the injustice happening in our society., Anger        ,2/11/2023 9:30, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,believe injustice happening society,0.0,0.0,neutral,0,9,"['#Injustice', '#Angry']"
 Feeling a sense of fear after watching a thriller movie. , Fear         ,2/11/2023 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,feeling sense fear watching thriller movie,0.0,0.0,neutral,5,9,"['#Fear', '#ThrillerMovie']"
 Heartbroken after hearing the news about a natural disaster. , Sadness      ,2/12/2023 14:45, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,heartbroken hearing news natural disaster,0.1,0.4,positive,0,9,"['#Sadness', '#NaturalDisaster']"
 The state of the world's environment is just disgusting. , Disgust      ,2/12/2023 18:20, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,state world environment disgusting,-1.0,1.0,negative,6,9,"['#Disgust', '#Environment']"
 Pure happiness: celebrating a loved one's achievement! , Happiness    ,2/13/2023 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,pure happiness celebrating loved one achievement,0.5380952380952381,0.5,positive,8,9,"['#Happiness', '#Celebration']"
 Laughter is the best medicine—enjoying a comedy show. , Joy          ,2/13/2023 19:30, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,laughter best medicine enjoying comedy show,0.75,0.44999999999999996,positive,7,9,"['#Joy', '#ComedyShow']"
 Sharing love and positive vibes with everyone! ❤️      , Love         ,2/14/2023 8:30, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,sharing love positive vibe everyone red heart,0.24242424242424243,0.38181818181818183,positive,0,9,"['#Love', '#SpreadLove']"
 An amusing incident brightened up my day!               , Amusement    ,2/14/2023 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,amusing incident brightened day,0.6,1.0,positive,1,9,"['#Amusement', '#FunTimes']"
 Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2/14/2023 19:45, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,enjoying quiet evening book tea,0.25,0.4666666666666667,positive,6,9,"['#Enjoyment', '#BookTime']"
 Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2/15/2023 11:30, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,admiring beauty nature peaceful hike,0.25,0.5,positive,6,9,"['#Admiration', '#Nature']"
 Sending affectionate vibes to all my followers!          , Affection    ,2/15/2023 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,sending affectionate vibe follower,0.0,0.0,neutral,3,9,"['#Affection', '#PositiveVibes']"
 Experiencing awe at the breathtaking sunset.            , Awe          ,2/15/2023 20:30, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,experiencing awe breathtaking sunset,1.0,1.0,positive,9,5,"['#Awe', '#Breathtaking']"
 Disappointed with the service at a local restaurant.    , Disappointed ,2/16/2023 9:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,disappointed service local restaurant,-0.375,0.375,negative,1,9,"['#Disappointed', '#BadService']"
 A surprise gift from a friend made my day!              , Surprise     ,2/16/2023 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,surprise gift friend made day,0.0,0.0,neutral,3,9,"['#Surprise', '#Gift']"
 Finding acceptance in the midst of life's challenges.   , Acceptance   ,2/16/2023 18:20, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,finding acceptance midst life challenge,0.0,0.0,neutral,4,9,"['#Acceptance', '#Challenges']"
 Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2/17/2023 10:45, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,overflowing adoration adorable pet paw print,0.5,1.0,positive,7,9,"['#Adoration', '#PetLove']"
 Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2/17/2023 7:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,anticipating thrilling adventure coming week,0.25,1.0,positive,3,9,"['#Anticipation', '#Adventure']"
 A bitter experience turned into a valuable lesson.      , Bitter       ,2/17/2023 15:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,bitter experience turned valuable lesson,-0.1,0.5,negative,5,9,"['#BitterLesson', '#Growth']"
 Finding calmness in the midst of a busy day.            , Calmness     ,2/18/2023 9:30, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,finding calmness midst busy day,0.1,0.3,positive,1,9,"['#Calmness', '#PeacefulMind']"
 Confusion clouds my mind as I navigate through decisions., Confusion    ,2/18/2023 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,confusion cloud mind navigate decision,0.0,0.0,neutral,4,9,"['#Confusion', '#DecisionMaking']"
 Excitement building up for the upcoming vacation!       , Excitement   ,2/18/2023 18:45, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,excitement building upcoming vacation,0.0,0.0,neutral,3,9,"['#Excitement', '#TravelPlans']"
 Kindness witnessed today restored my faith in humanity. , Kind         ,2/19/2023 11:30, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,kindness witnessed today restored faith humanity,0.0,0.0,neutral,7,9,"['#Kindness', '#Humanity']"
 Pride in achieving a personal milestone.               , Pride        ,2/19/2023 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,pride achieving personal milestone,0.0,0.3,neutral,8,5,"['#Pride', '#Milestone']"
 A moment of shame for not standing up against injustice. , Shame        ,2/19/2023 19:45, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,moment shame standing injustice,0.0,0.0,neutral,6,9,"['#Shame', '#Injustice']"
 Fuming with anger after a heated argument.            , Anger        ,2/20/2023 9:30, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,fuming anger heated argument,-0.7,0.2,negative,0,9,"['#Anger', '#Argument']"
 The fear of the unknown is keeping me up at night.    , Fear         ,2/20/2023 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,fear unknown keeping night,-0.1,0.6,negative,9,5,"['#Fear', '#Unknown']"
 Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2/21/2023 14:45, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,heartfelt sadness bidding farewell dear friend,0.0,1.0,neutral,3,5,"['#Sadness', '#Farewell']"
 The state of corruption in our society is utterly disgusting. , Disgust      ,2/21/2023 18:20, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,state corruption society utterly disgusting,-1.0,1.0,negative,4,9,"['#Disgust', '#Corruption']"
 Overflowing happiness: welcoming a new family member!  , Happiness    ,2/22/2023 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,overflowing happiness welcoming new family member,0.41818181818181815,0.32727272727272727,positive,2,9,"['#Happiness', '#NewFamilyMember']"
 Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2/22/2023 19:30, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,laughter key joy attending stand comedy show,0.4,0.6,positive,7,9,"['#Joy', '#StandUpComedy']"
 Sending love to all my followers on this beautiful day! ❤️ , Love         ,2/23/2023 8:30, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,sending love follower beautiful day red heart,0.45,0.5333333333333333,positive,1,9,"['#Love', '#SpreadLove']"
 Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2/23/2023 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,amused antic pet pure amusement,0.21428571428571427,0.5,positive,0,9,"['#Amusement', '#PetAntics']"
 Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2/23/2023 19:45, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,enjoying every moment trip pure enjoyment,0.35714285714285715,0.55,positive,6,9,"['#Enjoyment', '#Travel']"
 Admiring the dedication of volunteers at a local charity. , Admiration   ,2/24/2023 11:30, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,admiring dedication volunteer local charity,0.0,0.0,neutral,1,9,"['#Admiration', '#Volunteers']"
 Sending affectionate vibes to friends and family.        , Affection    ,2/24/2023 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,sending affectionate vibe friend family,0.0,0.0,neutral,3,5,"['#Affection', '#FamilyLove']"
 Awe-struck by the beauty of the night sky.               , Awe          ,2/24/2023 20:30, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,awe struck beauty night sky,0.0,0.0,neutral,9,5,"['#Awe', '#StarryNight']"
 Disappointed with the lack of progress in a personal project. , Disappointed ,2/25/2023 9:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,disappointed lack progress personal project,-0.375,0.525,negative,8,5,"['#Disappointed', '#Project']"
 A surprise visit from an old friend brought tears of joy. , Surprise     ,2/25/2023 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,surprise visit old friend brought tear joy,0.45,0.2,positive,3,9,"['#Surprise', '#OldFriends']"
 Embracing acceptance of life's ups and downs.           , Acceptance   ,2/25/2023 18:20, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,embracing acceptance life ups down,-0.15555555555555559,0.2888888888888889,negative,4,9,"['#Acceptance', '#LifeJourney']"
 Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,2/26/2023 10:45, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,overflowing adoration cute rescue puppy dog face,0.5,1.0,positive,7,9,"['#Adoration', '#PuppyLove']"
 Anticipating the release of a much-awaited movie.       , Anticipation ,2/26/2023 7:30, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,anticipating release much awaited movie,0.2,0.2,positive,3,9,"['#Anticipation', '#MovieRelease']"
 Bitter experience at the customer service department.   , Bitter       ,2/26/2023 15:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,bitter experience customer service department,-0.1,0.5,negative,5,9,"['#BitterExperience', '#CustomerService']"
 Finding calmness amidst the chaos of daily life.        , Calmness     ,2/27/2023 9:30, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,finding calmness amidst chaos daily life,0.0,0.0,neutral,4,9,"['#Calmness', '#InnerPeace']"
 Confusion reigns as I try to make sense of recent events., Confusion    ,2/27/2023 14:20, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   ,confusion reign try make sense recent event,0.0,0.25,neutral,5,9,"['#Confusion', '#MakingSense']"
 Excitement building up for a surprise birthday party.   , Excitement   ,2/27/2023 18:45, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,excitement building surprise birthday party,0.0,0.0,neutral,3,9,"['#Excitement', '#SurpriseParty']"
 Witnessed an act of kindness that made my day.          , Kind         ,2/28/2023 11:30, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,witnessed act kindness made day,0.0,0.0,neutral,1,9,"['#Kindness', '#ActsOfKindness']"
 Pride in completing a challenging fitness challenge.    , Pride        ,2/28/2023 16:00, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,pride completing challenging fitness challenge,0.5,1.0,positive,8,5,"['#Pride', '#FitnessChallengeCompleted']"
 A moment of shame for not speaking up against injustice., Shame        ,2/28/2023 19:45, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     ,moment shame speaking injustice,0.0,0.0,neutral,6,5,"['#Shame', '#Injustice']"
 Reflecting on the beauty of diversity in our world.     , Acceptance   ,3/1/2023 10:45, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,reflecting beauty diversity world,0.0,0.0,neutral,6,9,"['#Acceptance', '#Diversity']"
 Excitement for a quiet evening with a good book.        , Excitement   ,3/1/2023 13:30, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          ,excitement quiet evening good book,0.35,0.4666666666666667,positive,3,9,"['#Excitement', '#BookTime']"
 Feeling bitter about the unfairness in the workplace.   , Bitter       ,3/1/2023 17:45, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,feeling bitter unfairness workplace,-0.1,0.5,negative,5,9,"['#Bitter', '#Unfairness']"
 Calmness prevails as I practice mindfulness.            , Calmness     ,3/2/2023 18:00, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,calmness prevails practice mindfulness,0.0,0.0,neutral,0,9,"['#Calmness', '#Mindfulness']"
 Confusion surrounds me as I navigate through life's choices. , Confusion ,3/2/2023 13:15, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,confusion surround navigate life choice,0.0,0.0,neutral,4,9,"['#Confusion', '#LifeChoices']"
 Excitement for a weekend road trip to explore new places. , Excitement ,3/2/2023 16:45, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,excitement weekend road trip explore new place,0.13636363636363635,0.45454545454545453,positive,2,9,"['#Excitement', '#WeekendAdventure']"
 Kindness witnessed today restores my faith in humanity.  , Kind         ,3/3/2023 11:30, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,kindness witnessed today restores faith humanity,0.0,0.0,neutral,7,9,"['#Kindness', '#HumanityRestored']"
 Pride in accomplishing personal and professional goals.  , Pride        ,3/3/2023 14:30, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada ,pride accomplishing personal professional goal,0.05,0.2,positive,8,5,"['#Pride', '#Accomplishments']"
 Shame for not being true to my values in a difficult situation., Shame ,3/3/2023 12:00, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        ,shame true value difficult situation,-0.07500000000000001,0.825,negative,0,9,"['#Shame', '#Integrity']"
" Revisiting old memories, feeling a sense of elation. ", Elation       ,5/15/2010 15:30, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    ,revisiting old memory feeling sense elation,0.1,0.2,positive,5,9,"['#Elation', '#Memories']"
 The victory of our team brought euphoria to the city. , Euphoria      ,8/10/2021 21:15, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      ,victory team brought euphoria city,0.0,0.0,neutral,7,9,"['#Euphoria', '#Victory']"
" Embracing the beauty of nature, a moment of contentment. ", Contentment   ,6/20/2011 14:45, NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       ,embracing beauty nature moment contentment,0.0,0.0,neutral,6,9,"['#Contentment', '#Nature']"
" Meditating by the serene lake, finding inner peace.   ", Serenity      ,2/12/2022 18:20, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          ,meditating serene lake finding inner peace,0.0,0.16666666666666666,neutral,4,9,"['#Serenity', '#Meditation']"
